Year,Production (Metric Tons),avg_yield,Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2014,46137.0,19.0,2366.0,5452,7/31/2014,0.1434868817986272,0.4863200521039808,0.1444651776129952,0.4585756426780084,72.54,12.508064516129032
2014,46137.0,19.0,2366.0,5452,8/31/2014,0.081219266,0.2484416668211712,-0.026205724,0.6259486431685728,121.0,12.358387096774194
2014,46137.0,19.0,2366.0,5452,9/30/2014,0.2522886493508474,0.3627790454615699,0.073368017,0.6791762730543113,258.476,12.161666666666669
2014,46137.0,19.0,2366.0,5452,10/31/2014,0.2142105931608805,0.2261405682009069,-0.003575328,1.208846119780504,690.894,11.958064516129031
2014,46137.0,19.0,2366.0,5452,11/30/2014,-0.121060798,-0.033366343,-0.226736176,1.3028722648437367,287.868,11.784
2014,46137.0,19.0,2366.0,5452,12/31/2014,-0.071759196,0.3482656320737786,0.1746390387265117,1.4343796223720384,665.285,11.696451612903225
2015,36040.0,20.0,1802.0,4634,1/31/2015,0.5201675184019323,-0.056340014,0.3509675396086263,-1.058121007,8.924,11.740967741935483
2015,36040.0,20.0,1802.0,4634,2/28/2015,0.5800191064336528,-0.043634456,0.3815455149334854,-0.950131725,109.742,11.88642857142857
2015,36040.0,20.0,1802.0,4634,3/31/2015,1.0436767296812208,0.2325123106638394,0.7828309267958382,-1.390928324,89.954,12.08
2015,36040.0,20.0,1802.0,4634,4/30/2015,0.8703011387112906,0.6755254046838366,0.7359357176485806,0.2144092384874568,225.848,12.286
2015,36040.0,20.0,1802.0,4634,5/31/2015,0.6969767968075656,0.8017213040191371,0.89126824,0.013970916,161.817,12.46032258064516
2015,36040.0,20.0,1802.0,4634,6/30/2015,0.4961573308851091,0.7918451032015926,0.8596799793193276,-0.342509881,113.214,12.549333333333331
2015,36040.0,20.0,1802.0,4634,7/31/2015,0.4094695354001453,0.7210125661553259,0.7592575978009037,-0.537261399,57.172,12.509032258064517
2015,36040.0,20.0,1802.0,4634,8/31/2015,0.503255327,0.6318081716742724,0.7658581299194858,-0.419001711,142.908,12.36
2015,36040.0,20.0,1802.0,4634,9/30/2015,0.4786813993093646,0.5526215722877171,0.6706533118852737,0.072174499,171.697,12.163
2015,36040.0,20.0,1802.0,4634,10/31/2015,0.4363752951575244,0.5256124639587314,0.5310677731299313,0.8417887287432765,408.316,11.959354838709675
2015,36040.0,20.0,1802.0,4634,11/30/2015,0.3396683072295735,0.4483727858802949,0.4407033453160132,1.0624755228263985,435.68,11.785666666666666
2015,36040.0,20.0,1802.0,4634,12/31/2015,0.3356708800656195,0.4289743699375896,0.4744917835420874,0.6065618091349171,307.418,11.696451612903225
2016,27608.0,19.0,1446.0,3923,1/31/2016,0.6062659496255455,0.070032878,0.5178667088927671,-0.970234026,11.21,11.74
2016,27608.0,19.0,1446.0,3923,2/29/2016,1.0070954996662622,0.2170956234403083,0.8359928480464857,-1.98773084,37.885,11.887931034482758
2016,27608.0,19.0,1446.0,3923,3/31/2016,1.7193956675879671,0.5171168073414888,1.341047357395904,-2.495977864,158.608,12.08483870967742
2016,27608.0,19.0,1446.0,3923,4/30/2016,1.520088049118545,0.9147489355977096,1.3429646548208247,-1.081729862,158.302,12.292
2016,27608.0,19.0,1446.0,3923,5/31/2016,0.5193987824088642,0.8495093724911301,0.7950890578732058,0.7532555199895832,596.8340000000001,12.464193548387096
2016,27608.0,19.0,1446.0,3923,6/30/2016,0.2920066756593595,0.9564484501606804,0.761269189,-0.152195793,103.087,12.55
2016,27608.0,19.0,1446.0,3923,7/31/2016,0.3464331839685715,0.7050832099979953,0.7168256056100196,-0.535968943,70.07300000000001,12.506774193548386
2016,27608.0,19.0,1446.0,3923,8/31/2016,0.3710327357467461,0.8367658875652652,0.7432277340843478,-0.75439394,42.106,12.356129032258066
2016,27608.0,19.0,1446.0,3923,9/30/2016,0.4500844203672359,0.4911696560896586,0.695012419,-1.231310057,24.86,12.158666666666669
2016,27608.0,19.0,1446.0,3923,10/31/2016,0.7138889886550617,0.1592372723401164,0.7347413356461706,-1.416131208,93.259,11.95483870967742
2016,27608.0,19.0,1446.0,3923,11/30/2016,0.3396683072295735,0.3024244849099043,0.4143955101576646,0.4174109317465453,235.274,11.782333333333334
2016,27608.0,19.0,1446.0,3923,12/31/2016,0.4479063350535436,-0.14129658,0.3660544701653856,-0.775719457,64.31,11.696451612903225
2017,20972.0,20.0,1056.0,1985,1/31/2017,0.34335824,-0.549088098,0.160495041,-1.199644895,120.845,11.742258064516127
2017,20972.0,20.0,1056.0,1985,2/28/2017,0.6540648554802367,-0.187074516,0.4107764428872044,-1.837310178,70.54599999999999,11.89
2017,20972.0,20.0,1056.0,1985,3/31/2017,1.060588921528716,0.173042714,0.7300266698471837,-0.929521674,302.665,12.083870967741936
2017,20972.0,20.0,1056.0,1985,4/30/2017,1.1753355807606607,0.6096840659002016,1.0720913891163557,-1.024301752,78.946,12.289333333333332
2017,20972.0,20.0,1056.0,1985,5/31/2017,0.699283005,0.925970282,0.8922111733323376,0.00686241,162.037,12.462903225806452
2017,20972.0,20.0,1056.0,1985,6/30/2017,0.3325190624940412,0.9740061405029824,0.761269189,-0.130159425,107.109,12.55
2017,20972.0,20.0,1056.0,1985,7/31/2017,0.5624479980206711,0.9726963934411572,0.8922111733323376,-0.959894381,51.366,12.507096774193547
2017,20972.0,20.0,1056.0,1985,8/31/2017,0.4379127671436597,0.7879158620161176,0.7451136,-0.450020646,106.035,12.356774193548388
2017,20972.0,20.0,1056.0,1985,9/30/2017,0.2967728388163808,0.6755254046838366,0.5839348922892399,0.095546405,112.331,12.16
2017,20972.0,20.0,1056.0,1985,10/31/2017,0.3126088002735802,0.5765864036621913,0.5801002974393964,0.2873252753807105,322.111,11.955806451612904
2017,20972.0,20.0,1056.0,1985,11/30/2017,0.2610266151387197,0.4417886520019327,0.388087675,0.7719961262221177,200.641,11.783333333333331
2017,20972.0,20.0,1056.0,1985,12/31/2017,0.2764782085993854,0.2218927398922856,0.317964879,0.082471062,136.75199999999998,11.696451612903225
2018,9240.0,20.0,462.0,1452,1/31/2018,0.2949278724330177,-0.371741266,0.1171201159788693,-0.903672562,22.692,11.741290322580646
